,0
2014-01-31,-0.07026498004277006
2014-02-28,0.020776226866784882
2014-03-31,0.044677235741028956
2014-04-30,0.006795170125112241
2014-05-30,0.04339620179990861
2014-06-30,0.035695302680752314
2014-07-31,-0.007361026260429289
2014-08-29,0.02463494349528241
2014-09-30,-0.07531135274733532
2014-10-31,0.00775658866595595
2014-11-28,-0.021263239168119636
2014-12-31,-0.06901007205913473
2015-01-30,0.007339331453900047
2015-02-27,0.04141390361404322
2015-03-31,-0.03181535717049088
2015-04-30,0.055208422626828874
2015-05-29,-0.04519396145635353
2015-06-30,-0.01671837114782021
2015-07-31,-0.05212452092794789
2015-08-31,-0.08464422338745563
2015-09-30,-0.024931332752771762
2015-10-30,0.06491029329859194
2015-11-30,-0.0357558144902735
2015-12-31,-0.021065356030867708
2016-01-29,-0.042300235593884794
2016-02-29,-0.0078763026838919
2016-03-31,0.13442886725722425
2016-04-29,0.019650899382274996
2016-05-31,-0.03779392015602362
2016-06-30,0.04977529648158455
2016-07-29,0.04574271959133058
2016-08-31,0.02043609851042295
2016-09-30,0.007018885117639503
2016-10-31,0.008182529362591296
2016-11-30,-0.03732341822162155
2016-12-30,0.020323295114262913
2017-01-31,0.047273857093214994
2017-02-28,0.02665901511045048
2017-03-31,0.02028145574585162
2017-04-28,0.011589769411530022
2017-05-31,0.015040552870893027
2017-06-30,0.0011603689659730422
2017-07-31,0.04799108027004863
2017-08-31,0.027682043621819252
2017-09-29,-0.00570725226602121
2017-10-31,0.03870562748930086
2017-11-30,-0.005876212524494721
2017-12-29,0.05104246015880655
2018-01-31,0.0893234684450967
2018-02-28,-0.04479130657071866
2018-03-30,-0.01880510215300218
2018-04-30,-0.0006726306147162645
2018-05-31,-0.04379614011242528
2018-06-29,-0.037277130899848056
2018-07-31,0.03580369355824013
2018-08-31,-0.01683805800516765
2018-09-28,0.010827143476274913
2018-10-31,-0.08162448270734325
2018-11-30,0.038034616151740454
2018-12-31,-0.017268152057992273
2019-01-31,0.07603690863090601
2019-02-28,-0.0014832841797547294
2019-03-29,0.01296987343877379
2019-04-30,0.022242249889592884
2019-05-31,-0.04731589556520111
2019-06-28,0.056412090106057466
2019-07-31,-0.014400081185448143
2019-08-30,-0.05710121097500874
2019-09-30,0.03038971883415154
2019-10-31,0.03558394552960962
2019-11-29,-0.01065678404993961
2019-12-31,0.07206738650110425
2020-01-31,-0.0482064756652078
2020-02-28,-0.06670323746131065
2020-03-31,-0.16760634465180382
2020-04-30,0.09985373784843675
2020-05-29,0.0042477924712450675
2020-06-30,0.06678052775027224
2020-07-31,0.07069760291997175
2020-08-31,0.0029634550626726854
2020-09-30,-0.01976019159151884
2020-10-30,0.020766948962788134
2020-11-30,0.11387264618262657
2020-12-31,0.0863300868375526
2021-01-29,0.0290323743679554
2021-02-26,0.032351074002840305
2021-03-31,0.0011879898458896443
2021-04-30,0.0235277295748508
2021-05-31,0.03436338529690337
2021-06-30,-0.0052385011089978555
2021-07-30,-0.04397554540412282
2021-08-31,0.03903511321882387
2021-09-30,-0.02352828398363307
2021-10-29,0.008119557267448457
2021-11-30,-0.03487057144530385
2021-12-31,0.03877293711315413
2022-01-31,0.0029240922294367522
2022-02-28,-0.046784091717312654
2022-03-31,0.021601714298431194
2022-04-29,-0.04929689726997008
2022-05-31,0.009638364803493562
2022-06-30,-0.07940058726618622
2022-07-29,0.0022528321892126496
2022-08-31,0.019459220008240203
2022-09-30,-0.10194113214765424
2022-10-31,0.0012038192372185513
2022-11-30,0.13016429684924002
2022-12-30,-0.02161397376045171
2023-01-31,0.06590833620845173
2023-02-28,-0.04502747129102448
2023-03-31,0.03462702520974735
2023-04-28,0.006221408189294738
2023-05-31,-0.0014989422294097911
2023-06-30,0.03338471222996842
2023-07-31,0.040309613903128295
2023-08-31,-0.04637740616986598
2023-09-29,-0.0131917396815385
2023-10-31,-0.03193660996460233
2023-11-30,0.07971419850955186
2023-12-29,0.047033963674443666
2024-01-31,-0.015857875274169576
2024-02-29,0.030224956428838358
2024-03-29,0.029177409618219706
2024-04-30,0.011237300812004128
2024-05-31,0.01648872644524583
2024-06-28,0.0007354646659207265
2024-07-31,0.003334579349555053
2024-08-30,0.01638387548657119
2024-09-30,0.033666084053502
2024-10-31,-0.044585669572840575
2024-11-29,-0.027383350714215042
2024-12-31,-0.0036936540354912673
2025-01-31,0.005809586069590342
2025-02-28,-0.01602392225709455
2025-03-31,0.021163031367445538
2025-04-30,0.017163109632920094
2025-05-30,0.045711084113797984
2025-06-30,0.05114499695263859
2025-07-31,0.012076508343282725
2025-08-29,0.009490382556151769
2025-09-30,0.050809593913538245
2025-10-31,0.049464209263430196
2025-11-28,-0.009290385971130546
2025-12-31,0.031214262162868694
